Bus ID,Bus Name,Bus Voltage (kV),Descriptive Powerflow Case,Sensitivity Case,Interconnection Type,Bus Interconnection Capacity (MW),Constraint Headroom (MW),Base Flow (MVA),Constraint Base Flow (MW),Number of Upgrades Assumed (Upgrades),Primary Limiting Constraint,Shift Factor (Number),Risk Level,Latitude (Degrees),Longitude (Degrees),County,ISO,State,Owner,Case Last Updated,Constraint Area,Constraint Type,Existing Overload Flag,Constraint AC Loading Ratio (Percentage),Constraint Voltage,Contingency Event,Contingency Event Facility,Contingency Name,Generator Modeling Assumptions,Interconnection Scenario,Study Year,Transmission Modeling Assumptions
ISO-NE_100006,COOPERS STAT,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,207.0,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.46,High Risk Upgrade,44.296799,-69.556666,Kennebec,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100087,SUROWIEC,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2061.54,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.47,High Risk Upgrade,43.93175,-70.203996,Cumberland,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100095,LARRABEE RD,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2104.59,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.46,High Risk Upgrade,44.141523,-70.18451,Androscoggin,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100565,MERRILL RD,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.46,High Risk Upgrade,44.146523,-70.17951,Androscoggin,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100566,CONV_ME,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,972.0,279.0,282.0,0,100087 SUROWIEC      345  100090 BUXTON        345  2,0.46,High Risk Upgrade,44.146523,-70.17951,Androscoggin,ISO-NE,ME,GEN_HVDC,2026-06-27,ISO-NE,Branch,False,30.51,345,BRANCH_OPEN,[101] 100087 SUROWIEC      345  100090 BUXTON        345  1,LN_374,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100090,BUXTON,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,2184.71,922.0,288.0,290.0,0,100090 BUXTON        345  104059 ES_385_CMP    345  1,0.42,High Risk Upgrade,43.663376,-70.553585,York,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,32.0,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 100089 SOUTH GORHAM  345  100098 MAGUIRE ROAD  345  1  
[101] 100089 SOUTH GORHAM  345  100165 SOUTH GORHAM  115  1",BF_SGR_KT1H2,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100581,BUXTON_STAT1,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,922.0,288.0,290.0,0,100090 BUXTON        345  104059 ES_385_CMP    345  1,0.42,High Risk Upgrade,43.668376,-70.548585,York,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,32.0,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 100089 SOUTH GORHAM  345  100098 MAGUIRE ROAD  345  1  
[101] 100089 SOUTH GORHAM  345  100165 SOUTH GORHAM  115  1",BF_SGR_KT1H2,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_100582,BUXTON_STAT2,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,0.0,922.0,288.0,290.0,0,100090 BUXTON        345  104059 ES_385_CMP    345  1,0.42,High Risk Upgrade,43.668376,-70.548585,York,ISO-NE,ME,ME_CMP,2026-06-27,ISO-NE,Branch,False,32.0,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 100089 SOUTH GORHAM  345  100098 MAGUIRE ROAD  345  1  
[101] 100089 SOUTH GORHAM  345  100165 SOUTH GORHAM  115  1",BF_SGR_KT1H2,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_114733,BELLINGHM 03,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,350.0,888.0,337.0,347.0,0,114735 BELLINGHM 20  345  115016 NGR_3520_NST  345  1,0.97,High Risk Upgrade,42.109255,-71.451832,Norfolk,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,37.3,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 114734 BRAYTN POINT  345  114900 BERRY STREET  345  1  
[101] 114900 BERRY STREET  345  114865 BERRY STREET  115  1",BF_BERY_327,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
ISO-NE_114733,BELLINGHM 03,345.0,ISO-NE Transitional Cluster CCIS Case,ISO Base Case,Injection,350.0,888.0,337.0,347.0,0,114735 BELLINGHM 20  345  115016 NGR_3520_NST  345  1,0.97,High Risk Upgrade,42.109255,-71.451832,Norfolk,ISO-NE,MA,MA_NGRID,2026-06-27,ISO-NE,Branch,False,37.3,345,"BRANCH_OPEN 
BRANCH_OPEN","[101] 114734 BRAYTN POINT  345  114900 BERRY STREET  345  1  
[101] 114900 BERRY STREET  345  114865 BERRY STREET  115  1",BF_BERY_327,Active queue generators included in the Transitional Cluster Study,ISO Base Case,2030 Summer Peak,Transmission upgrades approved in the annual transmission planning cycles up to the study year and interconnection upgrades associated with queue generators that are modeled
