Substation Name,Min Voltage (kV),Max Voltage (kV),Substation Owner,Substation Status,Type,Latitude (Degrees),Longitude (Degrees),County,Owner Source,State,Substation ID
Pickering Ss B,,,,In Service,Substation,43.811243,-79.06315,,Not Available,ON,or:electric_substation:568282
D. H. Cockburn Transformer,,,Alectra Utilities,In Service,Substation,43.848282,-79.311801,,Openinfra,ON,or:electric_substation:568283
Malvern Ts,,,Hydro One,In Service,Substation,43.825026,-79.233401,,Openinfra,ON,or:electric_substation:568284
Reddendale Distribution,,,Hydro One,In Service,Substation,44.219253,-76.55929,,Openinfra,ON,or:electric_substation:568285
Poste Charland,,,Hydro-Québec,In Service,Substation,45.560048,-73.646515,,Openinfra,QC,or:electric_substation:568286
Butternut Distribution,,,Hydro One,In Service,Substation,44.259879,-76.447391,,Openinfra,ON,or:electric_substation:568287
Kingston  No. 5,,,Kingston Hydro,In Service,Substation,44.24093,-76.449029,,Openinfra,ON,or:electric_substation:568288
Kingston  No. 8,,,Kingston Hydro,In Service,Substation,44.24175,-76.487294,,Openinfra,ON,or:electric_substation:568289
Poste De Val-Tétreau,,,Hydro-Québec,In Service,Substation,45.419442,-75.739808,,Openinfra,ON,or:electric_substation:568290
Poste Des Rapides-Farmer,,,Hydro-Québec,In Service,Substation,45.498804,-75.760535,,Openinfra,QC,or:electric_substation:568291
Poste Limbour,,,Hydro-Québec,In Service,Substation,45.49748,-75.759905,,Openinfra,QC,or:electric_substation:568292
Poste De Chelsea,,,Hydro-Québec,In Service,Substation,45.511837,-75.779547,,Openinfra,QC,or:electric_substation:568293
Poste De Sainte-Thérèse-Ouest,,,Hydro-Québec,In Service,Substation,45.622173,-73.852847,,Openinfra,QC,or:electric_substation:568294
Canosmunknown065915,,,,In Service,Substation,43.995478,-79.458687,,Not Available,ON,or:electric_substation:568295
Cavanagh Ts,,,Hydro One,In Service,Substation,43.809908,-79.297233,,Openinfra,ON,or:electric_substation:568296
Canosmunknown015016,,,,In Service,Substation,43.82082,-79.333087,,Not Available,ON,or:electric_substation:568297
Pickering Ss A,,,,In Service,Substation,43.811963,-79.068388,,Not Available,ON,or:electric_substation:568298
Leslie Transmission,,,Hydro One,In Service,Substation,43.794752,-79.365852,,Openinfra,ON,or:electric_substation:568299
Canosmunknown339973,,,,In Service,Substation,43.835901,-79.340767,,Not Available,ON,or:electric_substation:568300
Fairchild Ts,,,Hydro One,In Service,Substation,43.78305,-79.419733,,Openinfra,ON,or:electric_substation:568301
Buttonville Ts,,,Hydro One,In Service,Substation,43.86942,-79.351166,,Openinfra,ON,or:electric_substation:568302
Canosmunknown728785,,,,In Service,Substation,43.976148,-79.230819,,Not Available,ON,or:electric_substation:568303
Woodbridge Ts,,,Hydro One,In Service,Substation,43.771566,-79.61524,,Openinfra,ON,or:electric_substation:568304
Poste Du Tremblay,,,Hydro-Québec,In Service,Substation,45.547476,-73.449902,,Openinfra,QC,or:electric_substation:568305
Poste De Mittal Canada Inc. (Longueuil),,,Mittal Canada Inc.,In Service,Substation,45.569526,-73.458113,,Openinfra,QC,or:electric_substation:568306
Poste De L'Institut-De-Recherche,,,Hydro-Québec,In Service,Substation,45.615114,-73.389675,,Openinfra,QC,or:electric_substation:568307
Poste De Longue-Pointe,,,Hydro-Québec,In Service,Substation,45.588469,-73.537762,,Openinfra,QC,or:electric_substation:568308
Poste De Saint-Maxime,,,Hydro-Québec,In Service,Substation,45.503154,-73.482078,,Openinfra,QC,or:electric_substation:568309
Poste Hampstead,,,Hydro-Québec,In Service,Substation,45.472655,-73.657797,,Openinfra,QC,or:electric_substation:568310
Cataraqui Distribution,,,Hydro One,In Service,Substation,44.257725,-76.552407,,Openinfra,ON,or:electric_substation:568311
Poste Pierre-Boucher,,,Hydro-Québec,In Service,Substation,45.603647,-73.424213,,Openinfra,QC,or:electric_substation:568312
Bayridge Distribution,,,Hydro One,In Service,Substation,44.250272,-76.587357,,Openinfra,ON,or:electric_substation:568313
Canosmunknown740967,,,,In Service,Substation,43.819952,-79.387804,,Not Available,ON,or:electric_substation:568314
Poste De Glenwood,,,Hydro-Québec,In Service,Substation,45.409795,-75.834776,,Openinfra,QC,or:electric_substation:568315
Horsey Bay Distribution,,,Hydro One,In Service,Substation,44.228429,-76.579908,,Openinfra,ON,or:electric_substation:568316
Sr Greenwood Transformer,,,Alectra Utilities,In Service,Substation,43.810418,-79.478473,,Openinfra,ON,or:electric_substation:568317
Bilberry Creek Transformer,,,Hydro One,In Service,Substation,45.466377,-75.550194,,Openinfra,ON,or:electric_substation:568318
Gardiner Transformer,,,,In Service,Substation,44.241546,-76.565979,,Not Available,ON,or:electric_substation:568319
Canosmunknown829111,,,,In Service,Substation,44.208039,-76.719441,,Not Available,ON,or:electric_substation:568320
Poste Templeton,,,Hydro-Québec,In Service,Substation,45.509459,-75.587761,,Openinfra,QC,or:electric_substation:568321
Kingston  No. 4,,,Kingston Hydro,In Service,Substation,44.247477,-76.526284,,Openinfra,ON,or:electric_substation:568322
Cataraqui Transformer,,,Hydro One,In Service,Substation,44.363627,-76.624955,,Openinfra,ON,or:electric_substation:568323
Kingston  No. 2,,,Kingston Hydro,In Service,Substation,44.232897,-76.505608,,Openinfra,ON,or:electric_substation:568325
Kingston  No. 11,,,Kingston Hydro,In Service,Substation,44.237733,-76.531688,,Openinfra,ON,or:electric_substation:568326
Canosmunknown533328,,,Toronto Hydro,In Service,Substation,43.790711,-79.302043,,Openinfra,ON,or:electric_substation:568327
Kingston  No. 9,,,,In Service,Substation,44.229174,-76.493311,,Not Available,ON,or:electric_substation:568328
Canosmunknown353824,,,,In Service,Substation,45.186833,-78.597314,,Not Available,ON,or:electric_substation:568329
